# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	720
#@/user_id	3f58877e-a7cc-40cc-b9f8-dce6e53b0ed7
a 	啊	c=4 d=3.03386 t=720
a fan da 	阿凡達	c=2 d=2.07416 t=720
a fan da fang jing dian ka fei ji la kai da huan jing 	阿凡達防靜電咖啡機拉開大環境	c=1 d=0.995012 t=720
a li 	阿里	c=0 d=0.193635 t=720
a li lang 	阿里郎	c=0 d=0.0965605 t=720
a li lang fa da shui li fang 	阿里郎發達水立方	c=1 d=0.970446 t=720
a li yun pan 	阿里雲盤	c=1 d=0.154124 t=720
an 	按	c=1 d=0.88692 t=720
an jian 	按鍵	c=7 d=2.28968 t=720
an jian 	案件	c=1 d=0.0728029 t=720
an jian liu cheng 	按鍵流程	c=1 d=0.144424 t=720
an ju le ye 	安居樂業	c=1 d=0.285076 t=720
an pai 	安排	c=0 d=0.0160414 t=720
an xia 	按下	c=1 d=0.752014 t=720
an zhu 	按住	c=2 d=0.906129 t=720
an zhuang 	安裝	c=2 d=0.248617 t=720
bai du 	百度	c=1 d=0.0800583 t=720
ban ben 	版本	c=4 d=0.493237 t=720
ban fa 	辦法	c=1 d=0.470011 t=720
ban zi 	班子	c=0 d=0.0860708 t=720
ban zi zhong 	班子中	c=1 d=0.865022 t=720
bei 	被	c=0 d=0.0398519 t=720
bei geng xin 	被更新	c=1 d=0.400517 t=720
ben ci 	本次	c=1 d=0.0902655 t=720
ben ling 	本領	c=0 d=0.0084163 t=720
bian hua 	變化	c=1 d=0.099005 t=720
biao shi 	表示	c=2 d=1.64219 t=720
biao zhun 	標準	c=1 d=0.0871609 t=720
bu 	不	c=0 d=0.0881526 t=720
bu chuang jian 	不創建	c=1 d=0.121846 t=720
bu dui 	不對	c=0 d=0.0402524 t=720
bu fang bian 	不方便	c=1 d=0.231078 t=720
bu fen 	部分	c=1 d=0.951229 t=720
bu qi dong 	不啓動	c=2 d=0.921204 t=720
bu shi 	不是	c=0 d=0.0951229 t=720
bu shi dai ma 	不是代碼	c=1 d=0.955997 t=720
bu shi ma 	不是嗎	c=1 d=0.932394 t=720
bu tong 	不同	c=0 d=0.0219808 t=720
bu ying xiang 	不影響	c=1 d=0.33454 t=720
bu zheng chang 	不正常	c=0 d=0.0606531 t=720
ca ta 	擦他	c=1 d=0.985112 t=720
cai yong 	採用	c=1 d=0.116383 t=720
cai yong le 	採用了	c=2 d=0.471728 t=720
can kao 	參考	c=2 d=1.05434 t=720
cao zuo 	操作	c=4 d=1.48428 t=720
ce shi 	測試	c=4 d=1.57257 t=720
cha ba 	插拔	c=1 d=0.115325 t=720
cha cao 	插槽	c=1 d=0.0761538 t=720
cha kou 	插口	c=1 d=0.075774 t=720
chang 	廠	c=1 d=0.180866 t=720
chong qi 	重啓	c=5 d=0.738186 t=720
chong xin 	重新	c=5 d=0.984037 t=720
chong xin fen xi 	重新分析	c=1 d=0.615697 t=720
chou 	抽	c=0 d=0.0140156 t=720
chou gei ni xing neng 	抽給你性能	c=1 d=0.140858 t=720
chu 	出	c=2 d=1.24579 t=720
chu chang 	出場	c=1 d=0.179964 t=720
chu chang 	出廠	c=0 d=0.0188247 t=720
chu fa 	觸發	c=1 d=0.25284 t=720
chu lai 	出來	c=1 d=0.329559 t=720
chu le 	除了	c=1 d=0.40657 t=720
chu li 	處理	c=1 d=0.17676 t=720
chu li liu cheng 	處理流程	c=1 d=0.14808 t=720
chuan kou 	串口	c=0 d=0.0226502 t=720
chuang jian 	創建	c=0 d=0.0121238 t=720
ci 	次	c=1 d=0.822835 t=720
cun zai 	存在	c=3 d=1.15662 t=720
cun zi 	村子	c=0 d=0.0367879 t=720
cun zi a 	村子啊	c=1 d=0.369723 t=720
da 	大	c=0 d=0.0778801 t=720
da 	打	c=1 d=1.25907 t=720
da fei ji 	打飛機	c=0 d=0.196546 t=720
da fen jie ling 	大分界嶺	c=0 d=0.0970446 t=720
da fen jie ling da shi fu lao da 	大分界嶺大師傅老大	c=1 d=0.97531 t=720
da fu 	大幅	c=0 d=0.254101 t=720
da fu du 	大幅度	c=0 d=0.0873716 t=720
da huan jing 	大環境	c=0 d=0.099005 t=720
da jia 	大家	c=0 d=0.174657 t=720
da jia a li 	大家阿里	c=1 d=0.99005 t=720
da jian 	搭建	c=1 d=0.744795 t=720
da jian dao 	大剪刀	c=1 d=0.666977 t=720
da kai 	打開	c=0 d=0.0970446 t=720
da lu jia 	大陸架	c=0 d=0.0932394 t=720
da shi fu 	大師傅	c=0 d=0.0970446 t=720
da wen jian 	大文件	c=1 d=0.782705 t=720
da wen jian 	打文件	c=1 d=0.778801 t=720
da xiao 	大小	c=0 d=0.097531 t=720
da yue 	大約	c=1 d=0.56836 t=720
dai ji 	待機	c=0 d=0.00784731 t=720
dai ji jian 	待機鍵	c=1 d=0.0788664 t=720
dai ma 	代碼	c=1 d=0.164403 t=720
dan shi 	但是	c=1 d=0.402524 t=720
dang de 	黨的	c=0 d=0.00845849 t=720
dang de ling dao 	黨的領導	c=1 d=0.0850088 t=720
dao 	到	c=2 d=0.401458 t=720
dao zhi 	導致	c=0 d=0.0594521 t=720
de 	的	c=12 d=6.06026 t=720
deng 	等	c=4 d=0.836356 t=720
di er ci 	第二次	c=1 d=0.0652193 t=720
di nuan 	地暖	c=0 d=0.0110803 t=720
di yi ci 	第一次	c=2 d=0.264817 t=720
dian yuan 	電源	c=1 d=0.0665368 t=720
dong fang 	東方	c=0 d=0.0970446 t=720
dong fang duo la fa la fa da le da kai fa da jian kong fang lao da fa lv da fu lao da 	東方哆啦法拉發達了打開發達檢控方老大法律大幅老大	c=1 d=0.97531 t=720
dou 	都	c=0 d=0.0644036 t=720
dou ke yi 	都可以	c=0 d=0.00608101 t=720
dou ke yi lai yan jiu yi xia 	都可以來研究一下	c=1 d=0.0611149 t=720
dou shi 	都是	c=2 d=0.865022 t=720
dou shi zheng chang 	都是正常	c=1 d=0.690734 t=720
dou you 	都有	c=0 d=0.0895834 t=720
dou you yi ge jia 	都有一個家	c=1 d=0.900325 t=720
dou zheng chang 	都正常	c=1 d=0.647265 t=720
du li 	獨立	c=3 d=0.802009 t=720
du qu 	讀取	c=3 d=2.09764 t=720
